[60/1000] 22.75 sec(s) Train Acc: 0.87878 | Val Acc: 0.86820 | Train Loss: 0.34858 | Val Loss: 0.38990
[61/1000] 22.92 sec(s) Train Acc: 0.88054 | Val Acc: 0.87040 | Train Loss: 0.34272 | Val Loss: 0.37528
[62/1000] 22.89 sec(s) Train Acc: 0.88132 | Val Acc: 0.87480 | Train Loss: 0.33780 | Val Loss: 0.38190 -> val best (acc)
[63/1000] 22.81 sec(s) Train Acc: 0.88376 | Val Acc: 0.87260 | Train Loss: 0.33423 | Val Loss: 0.37814
[64/1000] 22.79 sec(s) Train Acc: 0.88496 | Val Acc: 0.87420 | Train Loss: 0.33008 | Val Loss: 0.38407
[65/1000] 22.99 sec(s) Train Acc: 0.88880 | Val Acc: 0.87540 | Train Loss: 0.32572 | Val Loss: 0.37286 -> val best (acc)
[66/1000] 22.85 sec(s) Train Acc: 0.88894 | Val Acc: 0.87460 | Train Loss: 0.32006 | Val Loss: 0.38854
[67/1000] 22.79 sec(s) Train Acc: 0.89182 | Val Acc: 0.87700 | Train Loss: 0.31541 | Val Loss: 0.37845 -> val best (acc)
[68/1000] 22.70 sec(s) Train Acc: 0.89226 | Val Acc: 0.87260 | Train Loss: 0.30973 | Val Loss: 0.39604
[69/1000] 22.82 sec(s) Train Acc: 0.89182 | Val Acc: 0.87940 | Train Loss: 0.30741 | Val Loss: 0.37545 -> val best (acc)
[70/1000] 22.82 sec(s) Train Acc: 0.89598 | Val Acc: 0.87460 | Train Loss: 0.29829 | Val Loss: 0.38193
[71/1000] 22.66 sec(s) Train Acc: 0.89684 | Val Acc: 0.87820 | Train Loss: 0.29466 | Val Loss: 0.37106
[72/1000] 22.77 sec(s) Train Acc: 0.89840 | Val Acc: 0.87760 | Train Loss: 0.29049 | Val Loss: 0.37733
[73/1000] 22.92 sec(s) Train Acc: 0.90180 | Val Acc: 0.87580 | Train Loss: 0.28534 | Val Loss: 0.37860
[74/1000] 22.80 sec(s) Train Acc: 0.90072 | Val Acc: 0.87780 | Train Loss: 0.29012 | Val Loss: 0.37554
[75/1000] 22.61 sec(s) Train Acc: 0.90202 | Val Acc: 0.87880 | Train Loss: 0.27741 | Val Loss: 0.37784
[76/1000] 22.77 sec(s) Train Acc: 0.90318 | Val Acc: 0.87680 | Train Loss: 0.27740 | Val Loss: 0.38394
[77/1000] 22.71 sec(s) Train Acc: 0.90474 | Val Acc: 0.87880 | Train Loss: 0.27204 | Val Loss: 0.37307
[78/1000] 22.88 sec(s) Train Acc: 0.90786 | Val Acc: 0.87840 | Train Loss: 0.26505 | Val Loss: 0.37726
[79/1000] 22.61 sec(s) Train Acc: 0.90584 | Val Acc: 0.88380 | Train Loss: 0.26901 | Val Loss: 0.36842 -> val best (acc)
[80/1000] 22.77 sec(s) Train Acc: 0.90814 | Val Acc: 0.87940 | Train Loss: 0.26080 | Val Loss: 0.37751
[81/1000] 22.62 sec(s) Train Acc: 0.90828 | Val Acc: 0.88220 | Train Loss: 0.26539 | Val Loss: 0.37314
[82/1000] 22.73 sec(s) Train Acc: 0.91130 | Val Acc: 0.88380 | Train Loss: 0.25574 | Val Loss: 0.37246 -> val best (acc)
[83/1000] 22.73 sec(s) Train Acc: 0.91106 | Val Acc: 0.88360 | Train Loss: 0.25194 | Val Loss: 0.37038
[84/1000] 22.77 sec(s) Train Acc: 0.91108 | Val Acc: 0.88220 | Train Loss: 0.25041 | Val Loss: 0.37391
[85/1000] 22.99 sec(s) Train Acc: 0.91332 | Val Acc: 0.88100 | Train Loss: 0.24868 | Val Loss: 0.38409
[86/1000] 22.56 sec(s) Train Acc: 0.91278 | Val Acc: 0.88380 | Train Loss: 0.24994 | Val Loss: 0.37789 -> val best (acc)
[87/1000] 22.59 sec(s) Train Acc: 0.91380 | Val Acc: 0.88140 | Train Loss: 0.24523 | Val Loss: 0.37935
[88/1000] 22.62 sec(s) Train Acc: 0.91472 | Val Acc: 0.88440 | Train Loss: 0.24450 | Val Loss: 0.37323 -> val best (acc)
[89/1000] 22.79 sec(s) Train Acc: 0.91636 | Val Acc: 0.88360 | Train Loss: 0.24051 | Val Loss: 0.37748
[90/1000] 22.52 sec(s) Train Acc: 0.91818 | Val Acc: 0.88520 | Train Loss: 0.23339 | Val Loss: 0.37800 -> val best (acc)
[91/1000] 22.55 sec(s) Train Acc: 0.91756 | Val Acc: 0.88400 | Train Loss: 0.23413 | Val Loss: 0.37601
[92/1000] 22.79 sec(s) Train Acc: 0.91842 | Val Acc: 0.88400 | Train Loss: 0.23399 | Val Loss: 0.37858
[93/1000] 23.13 sec(s) Train Acc: 0.91724 | Val Acc: 0.88480 | Train Loss: 0.23714 | Val Loss: 0.37398
[94/1000] 22.76 sec(s) Train Acc: 0.91996 | Val Acc: 0.88620 | Train Loss: 0.22948 | Val Loss: 0.37429 -> val best (acc)
[95/1000] 22.66 sec(s) Train Acc: 0.91832 | Val Acc: 0.88540 | Train Loss: 0.23121 | Val Loss: 0.37499
[96/1000] 22.69 sec(s) Train Acc: 0.91814 | Val Acc: 0.88460 | Train Loss: 0.23349 | Val Loss: 0.37535
[97/1000] 22.76 sec(s) Train Acc: 0.91858 | Val Acc: 0.88480 | Train Loss: 0.23341 | Val Loss: 0.37533
[98/1000] 22.91 sec(s) Train Acc: 0.91986 | Val Acc: 0.88600 | Train Loss: 0.23104 | Val Loss: 0.37534
[99/1000] 22.63 sec(s) Train Acc: 0.91926 | Val Acc: 0.88520 | Train Loss: 0.22894 | Val Loss: 0.37677
[100/1000] 22.67 sec(s) Train Acc: 0.91800 | Val Acc: 0.88600 | Train Loss: 0.23196 | Val Loss: 0.37431
[101/1000] 22.82 sec(s) Train Acc: 0.91890 | Val Acc: 0.88460 | Train Loss: 0.23137 | Val Loss: 0.37477
[102/1000] 23.26 sec(s) Train Acc: 0.91926 | Val Acc: 0.88540 | Train Loss: 0.23360 | Val Loss: 0.37440
[103/1000] 22.62 sec(s) Train Acc: 0.91940 | Val Acc: 0.88460 | Train Loss: 0.23082 | Val Loss: 0.37666
[104/1000] 22.87 sec(s) Train Acc: 0.91976 | Val Acc: 0.88400 | Train Loss: 0.22969 | Val Loss: 0.37712
[105/1000] 22.60 sec(s) Train Acc: 0.91948 | Val Acc: 0.88460 | Train Loss: 0.23427 | Val Loss: 0.37511
[106/1000] 23.01 sec(s) Train Acc: 0.91724 | Val Acc: 0.88440 | Train Loss: 0.23394 | Val Loss: 0.37504
[107/1000] 22.54 sec(s) Train Acc: 0.92078 | Val Acc: 0.88460 | Train Loss: 0.23017 | Val Loss: 0.37844
[108/1000] 22.54 sec(s) Train Acc: 0.91878 | Val Acc: 0.88360 | Train Loss: 0.23342 | Val Loss: 0.37728
[109/1000] 22.68 sec(s) Train Acc: 0.91870 | Val Acc: 0.88220 | Train Loss: 0.23004 | Val Loss: 0.37866
[110/1000] 22.69 sec(s) Train Acc: 0.91706 | Val Acc: 0.88300 | Train Loss: 0.23387 | Val Loss: 0.37756
[111/1000] 22.88 sec(s) Train Acc: 0.91870 | Val Acc: 0.88520 | Train Loss: 0.23271 | Val Loss: 0.37937
[112/1000] 22.66 sec(s) Train Acc: 0.91728 | Val Acc: 0.88300 | Train Loss: 0.23420 | Val Loss: 0.38663
[113/1000] 22.81 sec(s) Train Acc: 0.91748 | Val Acc: 0.88440 | Train Loss: 0.23557 | Val Loss: 0.37814
[114/1000] 23.11 sec(s) Train Acc: 0.91698 | Val Acc: 0.88040 | Train Loss: 0.23489 | Val Loss: 0.37900
[115/1000] 22.85 sec(s) Train Acc: 0.91790 | Val Acc: 0.88220 | Train Loss: 0.23559 | Val Loss: 0.37827
[116/1000] 23.06 sec(s) Train Acc: 0.91792 | Val Acc: 0.88540 | Train Loss: 0.23423 | Val Loss: 0.38259
[117/1000] 22.66 sec(s) Train Acc: 0.91786 | Val Acc: 0.88720 | Train Loss: 0.23671 | Val Loss: 0.38118 -> val best (acc)
[118/1000] 22.87 sec(s) Train Acc: 0.91610 | Val Acc: 0.88520 | Train Loss: 0.24023 | Val Loss: 0.38569
[119/1000] 23.07 sec(s) Train Acc: 0.91592 | Val Acc: 0.88280 | Train Loss: 0.23993 | Val Loss: 0.38922
[120/1000] 22.63 sec(s) Train Acc: 0.91634 | Val Acc: 0.88200 | Train Loss: 0.23931 | Val Loss: 0.38834
[121/1000] 22.60 sec(s) Train Acc: 0.91542 | Val Acc: 0.88120 | Train Loss: 0.24117 | Val Loss: 0.38963
[122/1000] 23.10 sec(s) Train Acc: 0.91438 | Val Acc: 0.88780 | Train Loss: 0.24106 | Val Loss: 0.38866 -> val best (acc)
[123/1000] 22.70 sec(s) Train Acc: 0.91448 | Val Acc: 0.87960 | Train Loss: 0.24458 | Val Loss: 0.40039
[124/1000] 23.05 sec(s) Train Acc: 0.91500 | Val Acc: 0.87760 | Train Loss: 0.24187 | Val Loss: 0.40041
[125/1000] 22.83 sec(s) Train Acc: 0.91242 | Val Acc: 0.88080 | Train Loss: 0.24485 | Val Loss: 0.38406
[126/1000] 22.66 sec(s) Train Acc: 0.91426 | Val Acc: 0.88220 | Train Loss: 0.24392 | Val Loss: 0.38146
[127/1000] 22.80 sec(s) Train Acc: 0.91404 | Val Acc: 0.87980 | Train Loss: 0.24545 | Val Loss: 0.39557
[128/1000] 22.68 sec(s) Train Acc: 0.91070 | Val Acc: 0.88220 | Train Loss: 0.25216 | Val Loss: 0.38804
[129/1000] 22.70 sec(s) Train Acc: 0.91240 | Val Acc: 0.87660 | Train Loss: 0.25481 | Val Loss: 0.39064
[130/1000] 22.61 sec(s) Train Acc: 0.91068 | Val Acc: 0.88320 | Train Loss: 0.25684 | Val Loss: 0.38310
[131/1000] 22.60 sec(s) Train Acc: 0.91214 | Val Acc: 0.87420 | Train Loss: 0.25423 | Val Loss: 0.38944
[132/1000] 22.87 sec(s) Train Acc: 0.91056 | Val Acc: 0.88000 | Train Loss: 0.25835 | Val Loss: 0.38595
[133/1000] 23.05 sec(s) Train Acc: 0.90964 | Val Acc: 0.87960 | Train Loss: 0.25937 | Val Loss: 0.39439
[134/1000] 22.90 sec(s) Train Acc: 0.90668 | Val Acc: 0.88060 | Train Loss: 0.26596 | Val Loss: 0.38559
[135/1000] 22.88 sec(s) Train Acc: 0.90788 | Val Acc: 0.87760 | Train Loss: 0.26061 | Val Loss: 0.39676
[136/1000] 22.81 sec(s) Train Acc: 0.90700 | Val Acc: 0.87120 | Train Loss: 0.26750 | Val Loss: 0.40785
[137/1000] 22.70 sec(s) Train Acc: 0.90640 | Val Acc: 0.87340 | Train Loss: 0.26908 | Val Loss: 0.40597
[138/1000] 22.70 sec(s) Train Acc: 0.90732 | Val Acc: 0.87300 | Train Loss: 0.26759 | Val Loss: 0.40554
[139/1000] 22.82 sec(s) Train Acc: 0.90372 | Val Acc: 0.87540 | Train Loss: 0.27493 | Val Loss: 0.39635
[140/1000] 23.05 sec(s) Train Acc: 0.90442 | Val Acc: 0.87240 | Train Loss: 0.27131 | Val Loss: 0.40478
[141/1000] 23.16 sec(s) Train Acc: 0.90392 | Val Acc: 0.87300 | Train Loss: 0.27937 | Val Loss: 0.40990
[142/1000] 22.63 sec(s) Train Acc: 0.89896 | Val Acc: 0.87020 | Train Loss: 0.28329 | Val Loss: 0.39484
[143/1000] 22.63 sec(s) Train Acc: 0.90074 | Val Acc: 0.86680 | Train Loss: 0.28217 | Val Loss: 0.40451
[144/1000] 22.80 sec(s) Train Acc: 0.90006 | Val Acc: 0.86760 | Train Loss: 0.28309 | Val Loss: 0.43693
[145/1000] 22.58 sec(s) Train Acc: 0.90272 | Val Acc: 0.87300 | Train Loss: 0.28400 | Val Loss: 0.38707
[146/1000] 22.72 sec(s) Train Acc: 0.90044 | Val Acc: 0.87640 | Train Loss: 0.28464 | Val Loss: 0.39598
[147/1000] 22.71 sec(s) Train Acc: 0.90046 | Val Acc: 0.86700 | Train Loss: 0.28490 | Val Loss: 0.41857
[148/1000] 23.02 sec(s) Train Acc: 0.89842 | Val Acc: 0.85800 | Train Loss: 0.29223 | Val Loss: 0.44773
[149/1000] 22.90 sec(s) Train Acc: 0.90128 | Val Acc: 0.87300 | Train Loss: 0.28488 | Val Loss: 0.39104
[150/1000] 22.47 sec(s) Train Acc: 0.89764 | Val Acc: 0.87020 | Train Loss: 0.29436 | Val Loss: 0.40814
[151/1000] 22.79 sec(s) Train Acc: 0.89746 | Val Acc: 0.86660 | Train Loss: 0.29261 | Val Loss: 0.41267
[152/1000] 22.70 sec(s) Train Acc: 0.89780 | Val Acc: 0.87060 | Train Loss: 0.29109 | Val Loss: 0.40008
[153/1000] 22.82 sec(s) Train Acc: 0.89792 | Val Acc: 0.86420 | Train Loss: 0.29142 | Val Loss: 0.42793
[154/1000] 22.71 sec(s) Train Acc: 0.89642 | Val Acc: 0.86740 | Train Loss: 0.29116 | Val Loss: 0.42837
[155/1000] 22.68 sec(s) Train Acc: 0.89644 | Val Acc: 0.86740 | Train Loss: 0.29829 | Val Loss: 0.42182
[156/1000] 22.73 sec(s) Train Acc: 0.89540 | Val Acc: 0.86300 | Train Loss: 0.29473 | Val Loss: 0.42750
[157/1000] 22.82 sec(s) Train Acc: 0.89504 | Val Acc: 0.87720 | Train Loss: 0.29969 | Val Loss: 0.38413
[158/1000] 22.96 sec(s) Train Acc: 0.89412 | Val Acc: 0.87400 | Train Loss: 0.30097 | Val Loss: 0.38928
[159/1000] 22.83 sec(s) Train Acc: 0.89622 | Val Acc: 0.87020 | Train Loss: 0.30211 | Val Loss: 0.39917
[160/1000] 22.64 sec(s) Train Acc: 0.89506 | Val Acc: 0.86660 | Train Loss: 0.30345 | Val Loss: 0.42526
[161/1000] 22.73 sec(s) Train Acc: 0.89472 | Val Acc: 0.87260 | Train Loss: 0.30583 | Val Loss: 0.38719
[162/1000] 22.90 sec(s) Train Acc: 0.89682 | Val Acc: 0.87060 | Train Loss: 0.29628 | Val Loss: 0.40463
[163/1000] 22.87 sec(s) Train Acc: 0.89680 | Val Acc: 0.87680 | Train Loss: 0.29764 | Val Loss: 0.41379
[164/1000] 22.73 sec(s) Train Acc: 0.89574 | Val Acc: 0.86280 | Train Loss: 0.29981 | Val Loss: 0.40399
[165/1000] 22.66 sec(s) Train Acc: 0.89654 | Val Acc: 0.86440 | Train Loss: 0.29903 | Val Loss: 0.42414
[166/1000] 22.72 sec(s) Train Acc: 0.89628 | Val Acc: 0.85780 | Train Loss: 0.29675 | Val Loss: 0.43753
[167/1000] 22.78 sec(s) Train Acc: 0.89438 | Val Acc: 0.87060 | Train Loss: 0.29905 | Val Loss: 0.39823
[168/1000] 22.71 sec(s) Train Acc: 0.89646 | Val Acc: 0.87320 | Train Loss: 0.29698 | Val Loss: 0.41698
[169/1000] 22.58 sec(s) Train Acc: 0.89740 | Val Acc: 0.86420 | Train Loss: 0.29172 | Val Loss: 0.44634
[170/1000] 22.63 sec(s) Train Acc: 0.89628 | Val Acc: 0.87000 | Train Loss: 0.29423 | Val Loss: 0.40896
[171/1000] 22.96 sec(s) Train Acc: 0.89706 | Val Acc: 0.87020 | Train Loss: 0.29739 | Val Loss: 0.41655
[172/1000] 22.82 sec(s) Train Acc: 0.89760 | Val Acc: 0.86320 | Train Loss: 0.29667 | Val Loss: 0.42837
[173/1000] 22.63 sec(s) Train Acc: 0.89864 | Val Acc: 0.87140 | Train Loss: 0.29115 | Val Loss: 0.41564
[174/1000] 22.70 sec(s) Train Acc: 0.90010 | Val Acc: 0.86780 | Train Loss: 0.28788 | Val Loss: 0.42254
[175/1000] 22.83 sec(s) Train Acc: 0.89776 | Val Acc: 0.87280 | Train Loss: 0.28740 | Val Loss: 0.40844
[176/1000] 22.70 sec(s) Train Acc: 0.89780 | Val Acc: 0.86680 | Train Loss: 0.29345 | Val Loss: 0.42967
[177/1000] 22.62 sec(s) Train Acc: 0.89704 | Val Acc: 0.86700 | Train Loss: 0.29439 | Val Loss: 0.42150
[178/1000] 22.47 sec(s) Train Acc: 0.90058 | Val Acc: 0.86100 | Train Loss: 0.28384 | Val Loss: 0.44333
[179/1000] 22.68 sec(s) Train Acc: 0.89886 | Val Acc: 0.86640 | Train Loss: 0.29097 | Val Loss: 0.40835
[180/1000] 22.67 sec(s) Train Acc: 0.90098 | Val Acc: 0.87280 | Train Loss: 0.28091 | Val Loss: 0.40777
[181/1000] 22.69 sec(s) Train Acc: 0.90370 | Val Acc: 0.86300 | Train Loss: 0.27588 | Val Loss: 0.42918
